variable,cci,cmi,cpi,exi,imi,ppi,cor,ex,exp,fod,imp,pfod,pgas,pstl,rate,RM,set,covid,netex,gcpi,gcci,gppi,gimi,gexi,gcmi,ft,wage,mwage,poil,unem,newcovidcases,difcovid,trendcovid,pagri
31/1/2015,43.3,108.7,97.17,94.8,87,99.7,97.24,32.7344,"563,090,331,671",94.11,5.83E+11,100.7119592,28.04193548,120.2676339,2,5830624.34,1581.25,0,-19909668329,-0.41,46.78,-5.4,-10.77,-3.95,-2.8,58.96,13567.39,300,45.98,0.61,0,0,0,135.4895162
28/2/2015,42.4,107.8,97.28,95,87.2,100.1,97.32,32.5734,"557,940,200,127",93.84,5.52E+11,98.45041149,28.47142857,115.8085549,2,5753924.77,1587.01,0,5940200127,-0.52,58.8,-4.9,-10.66,-3.55,-3.8,58.96,13128.16,300,55.83,0.61,0,0,0,139.7595389
31/3/2015,40,107.4,97.45,95.1,86.7,100.6,97.26,32.6314,"610,463,334,673",94.28,5.68E+11,95.60566822,29.3516129,113.2301785,1.75,5724515.86,1505.94,0,42463334673,-0.57,45.45,-5,-11.17,-3.84,-4.5,58.96,13117.87,300,54.91,0.94,0,0,0,135.9994981
30/4/2015,38.8,107.5,97.47,95.2,87.3,100.7,97.38,32.5095,"548,206,411,273",95.26,5.72E+11,94.69689517,28.06,111.072908,1.5,5902407.32,1526.74,0,-23793588727,-1.04,30.2,-5.4,-10.19,-3.74,-4.3,58.96,13296.71,300,58.8,0.94,0,0,0,133.7822604
31/5/2015,38.9,107.3,97.63,95.5,88,102,97.43,33.5519,"592,417,175,158",95.59,5.21E+11,95.0304851,29.08064516,117.0163029,1.5,5990285.01,1496.05,0,71417175158,-1.27,36.49,-4.8,-9.47,-3.34,-4.3,49.61,13330.52,300,63.69,0.94,0,0,0,134.2142814
30/6/2015,38.9,107,97.73,95.5,88.2,101.6,97.47,33.7274,"603,058,469,847",95.65,6.05E+11,94.54320673,29.57,111.9650817,1.5,6033680.55,1504.55,0,-1941530153,-1.07,1.3,-3.7,-9.54,-3.44,-4.6,49.61,13394.92,300,61.78,0.88,0,0,0,136.8823763
31/7/2015,33.7,106.4,97.66,94.8,87.4,100.3,97.58,34.2996,"608,588,577,931",96.26,5.90E+11,93.80322138,28.42903226,102.1171717,1.5,6141343.69,1440.12,0,18588577931,-1.05,-18.6,-3.8,-10.36,-4.34,-5.3,49.61,13908.1,300,56.25,0.88,0,0,0,133.732053
31/8/2015,34.6,105.8,97.45,93.7,85.4,99.4,97.6,35.4176,"604,318,855,311",96.33,5.86E+11,89.56419417,27.82903226,100.6920908,1.5,6085877.93,1382.41,0,18318855311,-1.19,-21.36,-3.8,-12.14,-5.16,-5.6,49.61,13429.36,300,47.22,0.88,0,0,0,133.9777498
30/9/2015,35.4,105,97.4,93,84,99.2,97.67,36.0195,"665,537,064,495",96.51,5.73E+11,89.01970146,26.39333333,100.7819389,1.5,6138251.23,1349,0,92537064495,-1.07,-22.71,-3.6,-12.59,-5.39,-6.1,46.38,13451.26,300,46.15,0.92,0,0,0,131.6014425
31/10/2015,36.2,104.1,97.59,93.1,83.9,99.3,97.72,35.7177,"661,143,011,053",97.37,5.93E+11,90.36950869,26.50322581,98.0743919,1.5,6063562.7,1394.94,0,68143011053,-0.77,-21.48,-3.1,-11.5,-4.61,-6.5,46.38,14166.6,300,46.55,0.92,0,0,0,130.0263657
30/11/2015,37.6,103.3,97.28,92.8,82.6,98.9,97.77,35.7774,"602,017,827,701",95.98,5.98E+11,87.70669525,25.54666667,90.21397529,1.5,6005437.87,1359.7,0,4017827701,-0.97,-14.93,-3,-10.99,-4.13,-6.7,-3.23,13501.29,300,42.22,0.92,0,0,0,126.3635954
31/12/2015,37.2,102.7,96.9,92.5,80.9,98.2,97.75,36.0128,"608,941,540,810",95.52,5.63E+11,87.06100573,24.19677419,86.01373841,1.5,6066850.84,1288.02,0,45941540810,-0.85,-15.84,-4.1,-10.51,-3.34,-6.7,-3.23,13627.88,300,34.77,0.8,0,0,0,126.8981338
31/1/2016,36.4,102.1,96.65,92.1,79.8,97,97.81,36.1612,"562,748,361,607",95.12,5.62E+11,84.86123842,23.42903226,85.25909451,1.5,6053787.95,1300.98,0,748361607,-0.53,-15.94,-2.71,-8.28,-2.85,-6.2,-4.8,13652.66,300,27,0.8,0,0,0,126.1970256
29/2/2016,38.1,102.4,96.79,92.1,79.9,97,97.98,35.6037,"683,420,333,292",95.88,5.10E+11,86.04638342,22.37586207,89.32162593,1.5,6363924.31,1332.37,0,1.73E+11,-0.5,-10.14,-3.1,-8.37,-3.05,-5,-4.8,13435.83,300,29.5,0.8,0,0,0,128.3346887
31/3/2016,36,103,97,92.9,81.1,97.8,97.99,35.2376,"678,143,656,740",95.53,5.78E+11,87.42220494,23.43225806,96.92018542,1.5,6656824.37,1407.7,0,1.00E+11,-0.46,-10,-2.78,-6.46,-2.31,-4.1,-4.8,13398.93,300,35.18,0.97,0,0,0,130.506369
30/4/2016,35.8,104.7,97.53,93.4,82.4,98.8,98.13,35.0916,"542,074,060,748",97.54,5.21E+11,89.17734607,23.95333333,99.06680724,1.5,6750769.35,1404.61,0,21074060748,0.07,-7.73,-1.89,-5.61,-1.89,-2.6,-4.8,13499.85,300,39.04,0.97,0,0,0,136.8674349
31/5/2016,35.5,105.7,98.08,94.2,83.6,100.3,98.18,35.4475,"614,455,050,856",100.79,5.64E+11,90.58383942,25.16774194,95.82934425,1.5,6827131.32,1424.28,0,50455050856,0.46,-8.74,-1.67,-5,-1.36,-1.5,-33.29,13857.61,300,43.95,0.97,0,0,0,141.3886695
30/6/2016,35.1,104.2,98.11,94.6,84.4,100,98.26,35.3053,"642,598,627,985",100.31,5.78E+11,93.83605926,25.05333333,95.01398305,1.5,6839405.32,1444.99,0,64598627985,0.38,-9.77,-1.57,-4.31,-0.94,-2.6,-33.29,13620.35,300,45.83,1.08,0,0,0,140.5034762
31/7/2016,33.8,102.2,97.77,94.6,84.4,99.6,98.31,35.0756,"596,638,718,426",98.98,5.69E+11,92.97317259,24.03870968,100.4410182,1.5,6872595.38,1524.07,0,27638718426,0.1,0.3,-0.7,-3.43,-0.21,-3.9,-33.29,14182,300,42.62,1.08,0,0,0,146.4176824
31/8/2016,38.9,102.4,97.73,94.3,84.9,99.1,98.38,34.7255,"651,390,562,390",99.14,5.86E+11,95.29472433,23.75,102.2409145,1.5,6923135.23,1548.44,0,65390562390,0.29,12.43,-0.3,-0.59,0.64,-3.2,-33.29,13589.03,300,43.74,1.08,0,0,0,144.9345929
30/9/2016,36.2,103,97.77,94.4,85,98.9,98.4,34.732,"668,163,235,019",98.46,5.85E+11,96.08610043,24.85,100.0072252,1.5,6965735.75,1483.21,0,83163235019,0.38,2.26,-0.3,1.19,1.51,-1.9,-33.29,13645.32,300,43.74,0.94,0,0,0,135.9827338
31/10/2016,36.4,102.5,97.92,94.6,85.5,99.1,98.43,35.05,"613,246,272,413",98.16,6.12E+11,95.92635655,25.74655172,101.129979,1.5,7076772.69,1495.72,0,1246272413,0.34,0.55,-0.2,1.91,1.61,-1.6,-33.29,14194.69,300,48.26,0.94,0,0,0,127.8701149
30/11/2016,35.7,102.9,97.87,94.6,84.8,98.7,98.46,35.3196,"657,540,941,641",98.04,6.09E+11,95.79927862,25.46,115.2364308,1.5,7040816.52,1510.24,0,48540941641,0.6,-5.05,-0.2,2.66,1.94,-0.4,-33.29,13881.58,300,43.77,0.94,0,0,0,130.403709
31/12/2016,39.1,103.6,97.99,95.1,85.3,99.5,98.47,35.807,"640,284,246,816",97.13,6.13E+11,95.08635695,26.86612903,119.5333919,1.5,7078506.43,1542.94,0,27284246816,1.13,5.11,1.32,5.44,2.81,0.9,-33.29,13716.48,300,51.78,0.97,0,0,0,139.0678749
31/1/2017,39.2,104.6,98.15,95.5,86.4,100.6,98.54,35.4316,"609,358,958,785",96.87,5.86E+11,97.70243056,27.63064516,121.3683445,1.5,7134867.25,1577.31,0,23358958785,1.55,7.69,3.71,8.27,3.69,2.4,-37.29,13494.69,305,53.58,0.97,0,0,0,144.5545933
28/2/2017,40.4,104.5,98.19,96,87,101.4,98.56,35.0182,"646,217,202,296",96.43,5.95E+11,98.11906988,28.1,128.7232452,1.5,7183416.34,1559.56,0,51217202296,1.44,6.04,4.54,8.89,4.23,2.1,-37.29,13425.74,305,54.32,0.97,0,0,0,145.0549858
31/3/2017,38.5,104.6,97.74,96,86.8,100.7,98.6,34.8955,"726,298,580,230",94.98,6.72E+11,96.24032816,26.93709677,127.2143447,1.5,7148898.35,1575.11,0,54298580230,0.76,6.94,2.97,7.03,3.34,1.6,-37.29,13285.77,305,51.07,1.21,0,0,0,143.3148543
30/4/2017,36.1,104.4,97.9,96.5,87.5,100.4,98.62,34.4512,"581,621,652,882",95.59,5.82E+11,95.13627144,27.36,116.8921713,1.5,7334244.25,1566.32,0,-378347118,0.38,0.84,1.62,6.19,3.32,-0.3,-37.29,13449.28,305,51.95,1.21,0,0,0,140.7057802
31/5/2017,40.3,103.4,98.04,96.7,87.3,99.9,98.63,34.4535,"681,050,722,953",96.45,6.51E+11,97.39986983,26.87258065,111.665433,1.5,7325625.4,1561.66,0,30050722953,-0.04,13.52,-0.4,4.43,2.65,-2.2,-24.77,13519.74,305,50.53,1.21,0,0,0,136.5527796
30/6/2017,39.5,103.5,98.06,96.8,86.9,98.8,98.7,33.9992,"688,303,791,496",97.7,6.31E+11,97.96606697,25.82333333,109.8600453,1.5,7369604.18,1574.74,0,57303791496,-0.05,12.54,-1.2,2.96,2.33,-0.7,-24.77,13951.62,305,46.21,1.22,0,0,0,132.090215
31/7/2017,38.6,103.9,97.93,97,87.2,98.3,98.78,33.7497,"636,156,692,445",96.62,6.47E+11,100.2324052,25.71129032,117.1869147,1.5,7367469.12,1576.08,0,-10843307555,0.17,14.2,-1.31,3.32,2.54,1.7,-24.77,13906.05,305,47.55,1.22,0,0,0,127.2580324
31/8/2017,38.4,105.7,98.04,97.7,88,98.5,98.83,33.2624,"711,994,878,676",95.88,6.42E+11,99.33833022,26.66290323,127.0156278,1.5,7563924.27,1616.16,0,69994878676,0.32,-1.29,-0.61,3.65,3.61,3.2,-24.77,13782.65,305,50.16,1.22,0,0,0,127.3730669
30/9/2017,39.5,107.3,98.61,98.4,88.8,99.2,98.92,33.1503,"720,913,936,816",97.4,6.15E+11,99.88713332,27.41666667,126.1027363,1.5,7692204.5,1673.16,0,1.06E+11,0.86,9.12,0.3,4.47,4.24,4.2,-15.9,13864.21,305,53.32,1.19,0,0,0,131.1690037
31/10/2017,39.7,106.8,98.76,98.4,89.3,98.9,99.01,33.251,"657,303,942,624",97.88,6.59E+11,98.91213223,27.33387097,124.2335085,1.5,7669619.59,1721.37,0,-1696057376,0.86,9.07,-0.2,4.44,4.02,4.2,-15.9,13920.72,305,55.45,1.19,0,0,0,124.7475329
30/11/2017,40,106.6,98.83,98.9,90.2,98.9,99.06,32.9273,"705,102,106,932",96.86,6.51E+11,98.93420858,28.07,125.7728763,1.5,7700313.37,1697.39,0,54102106932,0.99,12.04,0.2,6.37,4.55,3.6,-15.9,14183.1,305,60.68,1.19,0,0,0,123.7379037
31/12/2017,40.6,106.7,98.75,99.3,90.9,98.7,99.08,32.6658,"641,942,709,330",96.24,6.57E+11,96.40606602,28.01774194,130.2290495,1.5,7815537.31,1753.71,0,-15057290670,0.78,3.84,-0.8,6.57,4.42,3,-15.9,13736.38,305,61.1,1.12,0,0,0,124.1657181
31/1/2018,41,107.5,98.82,100.1,92.2,99.2,99.11,31.8885,"655,101,293,051",95.96,6.64E+11,96.8029473,28.19516129,136.6115082,1.5,7824261,1826.86,0,-8898706949,0.68,4.59,-1.39,6.71,4.82,2.8,-15.9,13849.31,307,66.14,1.12,0,0,0,124.3812946
28/2/2018,40.3,107.5,98.6,100.3,92.4,99.1,99.18,31.4703,"646,578,907,123",94.95,6.24E+11,97.8753092,27.77142857,137.6190655,1.5,7830128.7,1830.13,0,22578907123,0.42,-0.25,-2.27,6.21,4.48,2.9,-15.9,13765.31,307,62.52,1.12,0,0,0,126.0347053
31/3/2018,40,107.4,98.51,100.6,92.7,99.2,99.22,31.2644,"706,017,953,381",94.35,6.65E+11,99.04206624,27.64677419,132.4664406,1.5,7847441.51,1776.26,0,41017953381,0.79,3.9,-1.49,6.8,4.79,2.7,-15.9,13678.5,307,62.7485,1.24,0,0,0,131.3279523
30/4/2018,39.4,107.2,98.95,101,93.1,99.8,99.25,31.3136,"590,549,745,667",96.05,6.33E+11,98.55799183,28.18666667,133.8918475,1.5,7855823.5,1780.11,0,-42450254333,1.07,9.14,-0.6,6.4,4.66,2.7,-15.9,13867.99,307,68.41,1.24,0,0,0,128.2881274
31/5/2018,37.8,107.3,99.5,101.2,93.7,100.7,99.41,31.9729,"694,620,616,944",96.67,6.59E+11,98.67277159,29.38870968,134.3493425,1.5,7871557.47,1726.97,0,35620616944,1.49,-6.2,0.8,7.33,4.65,3.8,-15.9,13529.33,307,74.37,1.24,0,0,0,130.7163885
30/6/2018,36.27187723,108.1,99.42,100.9,93.7,100.7,99.52,32.4635,"697,272,498,317",95.99,6.49E+11,96.95099172,29.25,135.3144991,1.5,7952401.13,1595.58,0,48272498317,1.38,-8.1,1.92,7.83,4.24,4.4,-15.9,14051.65,307,73.48,1.07,0,0,0,129.3288332
31/7/2018,37.1,108.8,99.37,100.6,93.2,100.6,99.56,33.2661,"659,251,899,703",95.06,6.81E+11,95.1351791,29.48870968,126.9083414,1.5,7913922.27,1701.79,0,-21748100297,1.46,-3.89,2.34,6.88,3.71,4.7,-15.9,14079.85,307,72.95,1.07,0,0,0,126.964728
31/8/2018,37.6,109.2,99.63,100.6,93.3,100.4,99.57,33.0306,"756,319,392,237",96.18,7.81E+11,95.96957618,29.84354839,125.0995408,1.5,7754310.05,1721.58,0,-24680607763,1.62,-2.08,1.93,6.02,2.97,3.3,-15.9,14000.12,307,72.8,1.07,0,0,0,123.7565672
30/9/2018,38,108.9,99.92,100.8,93.8,100.8,99.71,32.6228,"678,684,471,107",96.27,6.64E+11,94.23943041,30.73666667,124.524515,1.5,7653876.09,1756.41,0,14684471107,1.33,-3.8,1.61,5.63,2.44,1.5,-15.9,14204.56,307,76.64,0.96,0,0,0,124.1782927
